A,B,C,Requested government financing in 2011 - %,Requested government financing in 2011 - Quality,Requested government financing in 2011 - SE,Outcome of government financing request - Approved - Total Approval Rate - %,Outcome of government financing request - Approved - Total Approval Rate - Quality,Outcome of government financing request - Approved - Total Approval Rate - SE,Outcome of government financing request - Approved - Total amount of government financing provided - $,Outcome of government financing request - Approved - Total amount of government financing provided - Quality,Outcome of government financing request - Approved - Total amount of government financing provided - CV,Outcome of government financing request - Approved - Average amount of government financing provided - $,Outcome of government financing request - Approved - Average amount of government financing provided - Quality,Outcome of government financing request - Approved - Average amount of government financing provided - CV,Outcome of government financing request - Request was rejected - %,Outcome of government financing request - Request was rejected - Quality,Outcome of government financing request - Request was rejected - SE,Outcome of government financing request - Request is still under review - %,Outcome of government financing request - Request is still under review - Quality,Outcome of government financing request - Request is still under review - SE,Outcome of government financing request - Request was withdrawn - %,Outcome of government financing request - Request was withdrawn - Quality,Outcome of government financing request - Request was withdrawn - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All SMEs,1 to 499 employees,,3.7,A,0.2,83.8,A,2.4,"2,340,176,757",C,12.3,"122,484",C,12.3,9.4,A,2.0,5.0,A,1.5,1.8,A,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Size,1 to 4 employees,,2.3,A,0.3,87.7,B,3.4,"310,702,043",D,19.8,"46,886",C,14.0,10.7,B,3.3,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Size,5 to 19 employees,,4.6,A,0.5,80.4,B,4.3,"524,662,500",C,14.7,"62,815",C,12.6,10.2,B,3.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Size,20 to 99 employees,,6.9,A,0.8,84.8,B,4.3,"572,063,268",D,15.9,"155,684",C,14.5,5.7,B,3.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Size,100 to 499 employees,,8.4,A,1.6,87.5,C,5.4,"932,748,947",F,27.2,"2,063,227",F,27.3,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Atlantic,,4.9,A,0.9,82.2,C,6.7,"96,524,574",F,37.2,"53,330",F,29.9,12.2,C,6.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Quebec,,6.4,A,0.6,91.1,A,2.2,"1,267,724,647",D,15.5,"174,566",D,15.8,4.1,A,1.7,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Ontario,,3.5,A,0.4,76.9,C,5.6,"448,493,594",F,30.8,"74,133",F,30.9,13.7,B,4.8,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Ontario,Northern Ontario,3.6,A,1.4,95.8,B,3.0,"54,084,201",F,38.6,"102,827",F,40.9,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,Southern Ontario,3.4,A,0.4,75.2,C,6.0,"394,409,393",F,34.7,"71,400",F,34.7,15.0,C,5.2,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Prairies,,2.6,A,0.5,83.1,C,5.8,"264,364,598",F,26.7,"97,761",E,21.2,10.8,B,4.7,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Prairies,Manitoba,2.6,A,1.1,79.9,F,13.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Prairies,Saskatchewan,3.5,A,1.3,77.1,F,13.0,"42,134,764",F,49.8,"64,090",F,32.5,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,Alberta,2.4,A,0.6,86.5,C,7.2,"183,388,081",F,33.2,"113,032",E,24.8,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,British Columbia and Territories,,1.4,A,0.5,81.3,E,10.1,"263,069,344",F,51.8,"205,563",F,55.4,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,St. John's,,2.7,B,3.7,94.8,D,8.3,"6,024,620",F,464.6,"69,792",F,387.8,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Halifax,,2.9,A,1.7,71.2,F,21.6,"5,667,581",F,99.5,"35,481",F,91.5,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Quebec,,6.2,A,2.3,90.4,C,6.9,"75,606,037",F,50.3,"114,763",F,46.4,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Montreal,,4.1,A,0.7,88.7,B,4.1,"808,613,327",E,22.7,"446,265",F,26.2,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Ottawa-Gatineau,,3.5,A,1.1,38.2,F,15.3,"33,428,752",F,63.9,"64,876",F,58.2,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Toronto,,2.3,A,0.3,84.3,B,4.9,"67,309,555",E,20.1,"45,499",C,11.8,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Kingston,,7.6,E,11.9,81.6,F,72.2,"8,404,211",F,309.8,"52,515",F,269.0,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Hamilton,,6.1,A,2.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,St. Catherines-Niagara,,3.7,B,3.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Kitchener,,1.3,A,1.2,69.6,F,46.8,"2,681,187",F,142.2,"27,773",F,99.5,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,London,,3.3,B,2.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Windsor,,2.3,A,2.5,35.6,F,55.5,"7,861,220",F,275.3,"89,453",F,224.2,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Thunder Bay,,2.6,B,4.2,96.2,D,7.6,"3,478,886",F,122.9,"62,004",F,186.3,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Winnipeg,,2.7,A,1.7,81.2,F,14.5,"6,105,409",F,175.3,"24,690",F,134.4,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Calgary,,1.7,A,0.7,69.2,F,20.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Edmonton,,2.1,A,0.8,73.8,F,16.1,"36,630,570",F,58.3,"101,253",F,49.9,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Vancouver,,1.6,A,0.7,78.8,F,13.0,"211,002,440",F,63.4,"310,378",F,69.1,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA Level,Victoria,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,"Agriculture, Forestry, Fishing and Hunting (NAICS 11), Mining and Oil and Gas Extraction (NAICS 21) ",,11.4,A,1.6,95.3,B,3.1,"494,713,678",D,17.1,"120,502",C,13.4,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,Construction (NAICS 23),,2.1,A,0.6,66.2,F,13.3,"70,018,730",F,38.4,"44,553",F,32.7,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,Manufacturing (NAICS 31-33),,8.0,A,0.9,83.6,B,4.2,"534,724,297",D,17.3,"202,089",C,14.0,4.5,B,3.1,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,Wholesale Trade (NAICS 41),,2.4,A,0.6,60.6,F,12.6,"55,387,006",F,25.4,"73,983",E,24.6,29.5,E,12.5,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,Retail Trade (NAICS 44-45),,2.3,A,0.7,87.8,E,11.1,"110,305,499",F,38.2,"63,473",F,34.7,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,Transportation and Warehousing (NAICS 48-49),,2.9,A,0.5,84.1,D,8.0,"515,151,448",F,33.8,"679,220",F,36.6,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,"Professional, Scientific and Technical Services (NAICS 54)",,4.3,A,0.6,74.2,C,5.7,"110,680,507",E,20.9,"42,665",D,17.5,18.8,B,5.0,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,Accommodation and Food Services (NAICS 72),,3.4,A,0.8,100.0,A,0.0,"75,187,980",E,24.2,"45,015",E,21.4,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,Other Services (NAICS 81),,2.7,A,0.5,62.2,D,9.5,"50,996,703",F,36.6,"62,096",F,35.2,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,"Health Care and Social Assistance (NAICS 62), Information and Cultural Industries (NAICS 51), Arts, Entertainment and Recreation (NAICS 71)",,2.4,A,0.5,91.7,D,8.3,"323,010,910",F,55.8,"131,719",F,57.2,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,Knowledge-Based Industries (KBI),,8.7,A,1.6,87.9,B,3.8,"466,137,448",F,32.0,"218,003",F,32.8,7.6,B,3.0,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Rural,,5.0,A,0.6,89.8,B,3.9,"497,703,005",D,16.7,"87,904",C,13.2,5.9,B,3.6,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Urban,,3.3,A,0.2,81.4,B,3.0,"1,842,473,752",C,14.9,"137,048",D,15.3,10.8,A,2.4,5.5,A,1.9,2.3,A,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Status,Exporter,,9.7,A,1.1,80.7,B,4.5,"1,259,373,332",D,18.8,"240,737",E,20.3,11.8,B,3.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Status,Non-exporter,,3.0,A,0.2,85.1,B,2.9,"1,080,803,425",C,15.0,"77,898",C,14.2,8.4,A,2.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Business,2009-2011 (2 years or younger),,6.9,A,1.5,70.0,E,10.8,"37,960,017",F,42.9,"21,709",F,42.3,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Business,2001-2008 (3 to 10 years old),,3.3,A,0.4,81.9,B,4.9,"505,109,500",F,30.2,"110,160",F,29.3,10.9,B,3.7,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Business,1991-2000 (11 to 20 years old),,3.1,A,0.5,78.1,C,6.6,"775,174,224",E,23.4,"193,878",F,25.6,15.7,C,6.3,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Business,Prior to 1991 (more than 20 years old),,3.9,A,0.4,90.2,A,2.3,"1,021,933,016",D,15.9,"116,475",D,15.2,3.1,A,1.7,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Activities developed or introduced,New or significantly improved good or service,,6.3,A,0.6,80.3,B,3.7,"686,965,081",C,13.8,"92,176",C,13.2,14.4,B,3.5,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Activities developed or introduced,New or significantly improved process or method,,6.9,A,0.8,86.1,B,4.2,"708,276,778",D,15.2,"139,059",C,14.7,10.4,B,3.9,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Activities developed or introduced,"A new organizational method in your business practices, workplace organization or external relations ",,5.5,A,0.7,77.0,C,5.9,"559,590,544",F,25.3,"132,636",F,25.2,21.8,C,5.8,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Activities developed or introduced,A new way of selling your goods or services,,5.6,A,0.7,77.3,C,5.2,"367,791,478",E,20.9,"77,598",D,18.4,19.3,C,5.1,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Activities developed or introduced,At least one of the 4 above innovations,,5.2,A,0.4,82.1,B,3.2,"1,119,382,176",D,15.5,"114,426",C,15.0,12.6,B,2.9,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Activities developed or introduced,Non-Innovator (none of the above),,2.8,A,0.3,84.9,B,4.0,"1,172,113,502",D,19.5,"141,736",D,20.0,5.7,B,2.8,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owners Age,<30 years old,,6.6,B,2.8,99.1,A,0.7,"6,162,742",F,70.1,"10,645",F,63.1,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owners Age,30 to 39 years old,,4.3,A,0.8,88.1,C,5.6,"665,361,522",F,26.8,"270,388",F,29.8,9.1,C,5.5,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owners Age,40 to 49 years old,,3.6,A,0.4,82.6,B,5.0,"593,908,279",F,25.5,"110,669",F,25.7,12.1,B,4.3,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owners Age,50 to 64 years old,,3.8,A,0.4,82.8,B,3.4,"903,061,972",C,13.0,"96,958",C,11.6,8.3,B,2.7,5.7,A,2.1,3.2,A,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owners Age,65+ years old,,2.4,A,0.5,82.5,D,9.3,"171,682,242",F,69.6,"123,887",F,68.6,9.8,C,7.1,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female Ownership,0%,,3.7,A,0.3,82.1,B,3.3,"1,600,436,285",D,15.1,"155,691",D,15.2,9.4,A,2.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female Ownership,1% to 49%,,5.2,A,0.9,87.1,B,4.5,"425,353,429",E,21.4,"125,889",D,19.7,6.2,B,3.5,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female Ownership,50%,,3.3,A,0.6,88.3,C,5.2,"194,942,378",E,22.4,"61,541",D,19.9,7.2,B,4.6,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female Ownership,51% to 99%,,4.8,A,2.0,67.6,F,19.4,"11,299,418",F,60.2,"19,990",F,61.3,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female Ownership,100%,,2.3,A,0.6,84.9,E,11.1,"108,145,248",F,108.8,"63,073",F,109.3,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Level of Education Attained by the Owner,Less than high school,,4.3,A,0.7,80.6,C,6.1,"131,621,608",F,28.1,"58,785",F,25.2,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Level of Education Attained by the Owner,High school,,2.9,A,0.5,82.9,B,5.0,"356,215,534",E,20.2,"102,506",D,17.5,6.7,B,4.0,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Level of Education Attained by the Owner,College/Cegep/Trade School,,3.3,A,0.4,89.4,B,3.7,"529,822,708",F,28.3,"90,810",F,27.3,9.4,B,3.7,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Level of Education Attained by the Owner,Bachelor's degree,,5.2,A,0.6,81.9,B,4.7,"970,772,215",E,22.8,"175,407",E,23.7,5.5,A,2.5,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Level of Education Attained by the Owner,Master's degree or above,,2.9,A,0.5,79.2,E,10.1,"351,744,693",D,19.8,"173,872",E,23.2,18.3,D,10.0,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
